'C ,-6.757371
'C',-6.757371
'CA,-4.677929
'CH,-6.757371
'CI,-6.757371
'CL,-0.473236
'CO,-2.480704
'CR,-6.757371
'CU,-6.064223
'D ,2.069804
'D',-6.757371
'DE,-5.371076
'DI,-5.658758
'DL,-6.757371
'DO,-4.118313
'DP,-6.757371
'DS,-4.965611
'DT,-6.757371
'DU,-6.757371
'DW,-5.658758
'DY,-5.658758
'E ,-5.371076
'E',-6.757371
'EA,-4.560146
'EB,-6.757371
'EC,-5.371076
'ED,-6.757371
'EE,-4.118313
'EF,-6.757371
'EG,-6.064223
'EL,-5.658758
'EM,-4.811460
'EN,-1.479256
'EP,-2.303023
'ER,-0.801533
'ES,-3.260863
'ET,-3.924157
'EU,-6.064223
'EV,-5.658758
'EX,-6.757371
'FE,-6.757371
'FL,-5.147933
'FO,-4.811460
'FU,-6.064223
'GA,-4.677929
'GE,-6.757371
'GI,-6.757371
'GO,-6.757371
'GR,-6.064223
'GU,-5.147933
'H ,-6.757371
'H',-6.757371
'HA,-3.712848
'HE,-6.757371
'HI,-5.371076
'HO,-2.714319
'I ,-3.621876
'ID,-6.757371
'IF,-2.950708
'IL,-5.147933
'IN,-3.812932
'IO,-6.757371
'IS,-6.064223
'IT,-6.064223
'IW,-6.757371
'JO,-6.757371
'KE,-6.064223
'L ,-4.965611
'LA,-4.359475
'LE,-4.560146
'LI,-4.454785
'LL,0.722494
'LN,-6.757371
'LO,-4.454785
'LS,-5.371076
'LT,-6.757371
'LU,-6.757371
'LY,-6.757371
'M ,-0.085338
'MA,-3.579317
'MD,-6.064223
'MO,-2.598487
'N ,-1.252039
'N',-2.768386
'NA,-4.965611
'NE,-4.454785
'NF,-6.064223
'NI,-3.202022
'NL,-3.866999
'NN,-6.757371
'NO,-6.064223
'NS,-5.658758
'NT,-3.499274
'NY,-6.757371
'OB,-5.658758
'OD,-6.757371
'OE,-4.811460
'OI,-6.064223
'OL,-6.064223
'OM,-6.064223
'ON,-6.757371
'OP,-6.757371
'OR,-3.621876
'OS,-6.064223
'OT,-2.732019
'OU,-4.049320
'P ,-6.064223
'PA,-6.064223
'PE,-5.371076
'PO,-3.461534
'PR,-6.757371
'PT,-6.757371
'R ,-3.425166
'R',-6.757371
'RA,-3.461534
'RD,-4.049320
'RE,-0.420545
'RI,-2.142250
'RO,-3.323383
'RP,-6.757371
'RS,-4.965611
'RT,-6.757371
'RY,-3.579317
'S ,2.980830
'S',-6.757371
'SA,-6.757371
'SE,-4.965611
'SH,-6.064223
'SI,-6.757371
'SL,-6.757371
'ST,-1.276732
'SU,-4.677929
'SW,-6.757371
'T ,2.096152
'TB,-6.757371
'TH,-5.147933
'TI,-5.371076
'TM,-6.757371
'TO,-5.147933
'TS,-6.757371
'TW,-6.757371
'TY,-6.757371
'UD,-6.757371
'UN,-3.356173
'UO,-6.757371
'UR,-6.064223
'US,-6.757371
'UT,-6.757371
'VE,-0.394342
'WA,-6.757371
'WO,-6.064223
'Y ,-4.677929
'Y',-6.757371
'YA,-5.371076
'YE,-2.825545
'YI,-6.064223
'YO,-4.454785
'ZA,-6.757371
A A,0.533604
A B,1.782367
A C,2.163286
A D,1.654462
A E,-1.615707
A F,1.891377
A G,1.716498
A H,1.484859
A I,-0.065287
A J,-0.521001
A K,-0.210585
A L,2.016324
A M,2.111184
A N,0.771499
A O,0.192486
A P,2.006370
A Q,-0.324430
A R,1.261255
A S,2.548280
A T,1.788993
A U,-1.746735
A V,0.954178
A W,1.758021
A X,-6.064223
A Y,-0.072759
A Z,-3.924157
A'A,-2.679833
A'D,-5.371076
A'E,-3.579317
A'L,-5.658758
A'M,-4.049320
A'N,-3.019701
A'P,-5.147933
A'R,-5.658758
A'S,-0.979718
A'T,-6.064223
AA ,-4.359475
AAA,-3.291635
AAB,-4.811460
AAC,-3.924157
AAD,-6.757371
AAH,-6.064223
AAK,-6.757371
AAL,-5.371076
AAM,-6.064223
AAN,-4.454785
AAP,-4.811460
AAR,-3.621876
AAS,-6.064223
AAT,-6.757371
AB ,-0.262105
AB',-2.326554
ABA,-0.657052
ABB,0.059365
ABC,-6.064223
ABD,-2.845348
ABE,0.391761
ABF,-6.757371
ABH,-2.075239
ABI,0.587349
ABJ,-2.950708
ABL,2.407763
ABM,-3.579317
ABN,-3.356173
ABO,2.131662
ABR,-0.650348
ABS,0.464465
ABT,-6.757371
ABU,-1.302049
ABV,-6.757371
ABY,-0.899437
AC ,-0.916729
AC',-2.567716
ACA,-0.849288
ACB,-4.965611
ACC,1.528395
ACD,-3.761638
ACE,2.455367
ACF,-5.658758
ACG,-6.757371
ACH,2.035786
ACI,0.611600
ACK,2.198078
ACL,-0.652577
ACM,-4.560146
ACN,-5.371076
ACO,-1.030523
ACQ,0.157360
ACR,0.315051
ACS,-3.260863
ACT,1.992362
ACU,-0.811950
ACV,-6.757371
ACY,-0.677437
ACZ,-4.965611
AD ,3.771735
AD',-3.323383
ADA,0.719102
ADB,-3.093809
ADC,-3.579317
ADD,1.012853
ADE,2.311867
ADF,-0.862968
ADG,-3.146453
ADH,-1.479256
ADI,0.854966
ADJ,-1.651425
ADK,-2.375344
ADL,-0.343912
ADM,0.359835
ADN,-0.788663
ADO,0.549161
ADP,-4.272464
ADQ,-4.677929
ADR,-1.526262
ADS,0.269944
ADT,-0.979718
ADU,-1.053588
ADV,0.762322
ADW,-3.356173
ADY,1.271085
ADZ,-6.064223
AE ,-2.508875
AEA,-3.390075
AEC,-4.811460
AED,-2.907223
AEG,-5.371076
AEL,-1.239918
AEM,-3.425166
AEN,-3.666328
AEO,-4.272464
AER,-3.146453
AES,-1.733490
AET,-2.280034
AEU,-2.537863
AEV,-4.192421
AF ,-1.260202
AF',-4.192421
AFA,-2.214076
AFE,-0.150720
AFF,0.903686
AFG,-4.359475
AFI,-2.598487
AFK,-6.064223
AFL,-3.231010
AFM,-6.757371
AFN,-5.371076
AFO,-2.614236
AFR,-0.384051
AFS,-6.757371
AFT,1.860934
AFU,-6.757371
AFY,-4.965611
AG ,-0.297466
AG',-4.118313
AGA,1.948126
AGB,-6.757371
AGD,-3.461534
AGE,2.347054
AGG,0.409667
AGH,-2.280034
AGI,0.591217
AGL,-1.424652
AGM,-1.921089
AGN,-0.433012
AGO,0.287535
AGP,-4.454785
AGR,0.081035
AGS,-1.272574
AGT,-5.371076
AGU,-0.357113
AGW,-3.390075
AGY,-5.147933
AH ,0.631576
AH',-2.928729
AHA,-0.280398
AHB,-6.757371
AHE,-1.682197
AHH,-6.757371
AHI,-3.019701
AHL,-3.538495
AHM,-2.886170
AHN,-5.658758
AHO,-1.126159
AHR,-5.371076
AHS,-4.118313
AHT,-6.064223
AHU,-4.677929
AHW,-6.757371
AHY,-4.965611
AI ,-2.679833
AI',-6.757371
AIA,-4.049320
AIC,-3.231010
AID,2.985479
AIE,-2.663026
AIF,-3.666328
AIG,-0.263617
AIH,-5.658758
AII,-6.064223
AIK,-6.757371
AIL,1.561616
AIM,0.390189
AIN,3.261453
AIO,-4.359475
AIP,-5.371076
AIR,2.060075
AIS,1.053388
AIT,1.150281
AIU,-6.064223
AIV,-3.866999
AIW,-6.064223
AIX,-3.866999
AIZ,-4.454785
AJA,-2.950708
AJE,-0.707637
AJI,-6.757371
AJN,-6.757371
AJO,-1.415036
AJR,-6.064223
AJU,-6.064223
AJY,-6.064223
AK ,0.919567
AK',-3.538495
AKA,-1.889836
AKD,-4.359475
AKE,2.588112
AKF,-0.822476
AKH,-5.371076
AKI,1.155785
AKK,-5.147933
AKL,-3.761638
AKN,-1.794526
AKO,-3.924157
AKP,-6.757371
AKR,-5.658758
AKS,-1.158949
AKT,-6.064223
AKU,-4.454785
AKW,-6.757371
AKY,-3.202022
AL ,2.978467
AL',-1.978247
ALA,0.631576
ALB,0.101195
ALC,-0.454752
ALD,-0.976627
