t,x,y,vx,vy
2.17,71.5844264686,60.9003683911,23.1560714175,10.0701277388
2.18,71.8154212817,60.9999826446,23.0994813099,9.9614253501
2.19,72.0458529563,61.0985121723,23.0431674605,9.85295276909
2.2,72.2757242348,61.1959592425,22.9871278496,9.74470702366
2.21,72.5050378396,61.2923260942,22.9313604773,9.63668516365
2.22,72.7337964732,61.3876149368,22.8758633629,9.52888426044
2.23,72.9620028187,61.4818279509,22.8206345452,9.42130140663
2.24,73.1896595395,61.574967288,22.7656720815,9.31393371567
2.25,73.41676928,61.6670350712,22.7109740483,9.20677832154
2.26,73.6433346654,61.758033395,22.6565385402,9.09983237843
2.27,73.8693583021,61.8479643256,22.6023636702,8.99309306039
2.28,74.0948427778,61.9368299012,22.5484475695,8.88655756104
2.29,74.3197906617,62.0246321322,22.4947883869,8.78022309318
2.3,74.5442045045,62.111373001,22.4413842891,8.67408688859
2.31,74.7680868391,62.197054463,22.3882334598,8.56814619761
2.32,74.9914401802,62.2816784459,22.3353341004,8.46239828889
2.33,75.2142670244,62.3652468504,22.282684429,8.35684044908
2.34,75.4365698512,62.4477615502,22.2302826804,8.25146998252
2.35,75.6583511223,62.5292243923,22.1781271064,8.14628421095
2.36,75.8796132821,62.6096371971,22.1262159749,8.04128047322
2.37,76.1003587578,62.6890017583,22.0745475701,7.93645612499
2.38,76.3205899597,62.7673198437,22.0231201922,7.83180853847
2.39,76.5403092813,62.8445931947,21.9719321574,7.72733510211
2.4,76.7595190992,62.9208235269,21.9209817973,7.62303322033
2.41,76.9782217738,62.9960125301,21.8702674591,7.51890031327
2.42,77.1964196489,63.0701618682,21.8197875055,7.41493381646
2.43,77.414115052,63.14327318,21.7695403139,7.3111311806
2.44,77.6313102948,63.2153480787,21.7195242771,7.2074898713
2.45,77.8480076728,63.2863881524,21.6697378023,7.10400736878
2.46,78.0642094659,63.3563949641,21.6201793115,7.00068116761
2.47,78.2799179383,63.4253700519,21.5708472412,6.89750877649
2.48,78.4951353388,63.493314929,21.5217400419,6.79448771798
2.49,78.7098639005,63.5602310843,21.4728561786,6.69161552821
2.5,78.9241058418,63.6261199819,21.4241941298,6.5888897567
2.51,79.1378633657,63.6909830616,21.3757523882,6.48630796606
2.52,79.3511386603,63.7548217389,21.3275294598,6.38386773174
2.53,79.563933899,63.8176374053,21.2795238645,6.28156664185
2.54,79.7762512403,63.8794314283,21.2317341351,6.17940229685
2.55,79.9880928285,63.9402051514,21.1841588178,6.07737230935
2.56,80.1994607932,63.9999598944,21.1367964717,5.97547430387
2.57,80.4103572499,64.0586969536,21.0896456691,5.87370591663
2.58,80.6207842998,64.1164176015,21.0427049946,5.77206479525
2.59,80.8307440303,64.1731230875,20.9959730458,5.67054859861
2.6,81.0402385146,64.2288146375,20.9494484325,5.56915499657
2.61,81.2492698124,64.2834934542,20.9031297769,5.46788166975
2.62,81.4578399695,64.3371607173,20.8570157134,5.36672630933
2.63,81.6659510184,64.3898175834,20.8111048886,5.26568661681
2.64,81.873604978,64.4414651865,20.7653959607,5.1647603038
2.65,82.080803854,64.4921046374,20.7198875999,5.06394509183
2.66,82.2875496389,64.5417370245,20.674578488,4.96323871209
2.67,82.4938443121,64.5903634136,20.6294673184,4.86263890522
2.68,82.69968984,64.6379848478,20.5845527959,4.76214342116
2.69,82.9050881764,64.684602348,20.5398336365,4.66175001888
2.7,83.1100412621,64.7302169126,20.4953085673,4.56145646619
2.71,83.3145510254,64.774829518,20.4509763267,4.46126053955
2.72,83.518619382,64.8184411182,20.4068356638,4.36116002384
2.73,83.7222482354,64.8610526454,20.3628853386,4.2611527122
2.74,83.9254394766,64.9026650094,20.3191241217,4.16123640577
2.75,84.1281949845,64.9432790986,20.2755507942,4.06140891354
2.76,84.330516626,64.9828957791,20.232164148,3.96166805215
2.77,84.5324062559,65.0215158955,20.1889629849,3.86201164565
2.78,84.733865717,65.0591402708,20.1459461174,3.76243752536
2.79,84.9348968407,65.0957697061,20.1031123676,3.66294352964
2.8,85.1355014464,65.1314049811,20.0604605681,3.56352750371
2.81,85.335681342,65.1660468541,20.017989561,3.46418729947
2.82,85.535438324,65.1996960619,19.9756981986,3.36492077527
2.83,85.7347741774,65.2323533198,19.9335853427,3.2657257958
2.84,85.9336906761,65.2640193222,19.8916498646,3.1666002318
2.85,86.1321895825,65.2946947417,19.8498906452,3.06754195997
2.86,86.3302726483,65.3243802304,19.808306575,2.96854886271
2.87,86.5279416138,65.3530764187,19.7668965534,2.86961882799
2.88,86.7251982087,65.3807839161,19.7256594892,2.77074974913
2.89,86.9220441517,65.4075033114,19.6845943005,2.67193952464
2.9,87.1184811508,65.433235172,19.6436999142,2.57318605804
2.91,87.3145109035,65.4579800446,19.602975266,2.47448725765
2.92,87.5101350965,65.4817384549,19.5624193007,2.37584103645
2.93,87.7053554062,65.504510908,19.5220309716,2.27724531187
2.94,87.9001734986,65.5262978881,19.4818092409,2.17869800564
2.95,88.0945910294,65.5470998585,19.4417530792,2.08019704359
2.96,88.2886096441,65.5669172621,19.4018614654,1.98174035547
2.97,88.4822309779,65.5857505208,19.3621333872,1.88332587482
2.98,88.6754566563,65.6036000362,19.3225678402,1.78495153872
2.99,88.8682882946,65.6204661891,19.2831638284,1.6866152877
3.0,89.0607274983,65.6363493397,19.2439203638,1.58831506548
3.01,89.2527758629,65.6512498279,19.2048364667,1.49004881888
3.02,89.4444349746,65.6651679729,19.1659111652,1.39181449759
3.03,89.6357064095,65.6781040735,19.1271434951,1.29361005401
3.04,89.8265917345,65.6900584079,19.0885325003,1.1954334431
3.05,90.0170925069,65.7010312341,19.0500772323,1.09728262219
3.06,90.2072102744,65.7110227896,19.0117767502,0.999155550809
3.07,90.3969465756,65.7200332915,18.9736301208,0.901050190516
3.08,90.5863029398,65.7280629366,18.9356364181,0.802964504741
